"time","k","c"
0,1,0.683221549940109
0.1,1.02363161235696,0.689999014021323
0.2,1.04716845691511,0.696668954826475
0.3,1.07060724304568,0.703234237966841
0.4,1.09394488865942,0.709697598025591
0.5,1.11717850831594,0.716061647333287
0.6,1.14030540215941,0.722328883984168
0.7,1.16332304560932,0.728501699172624
0.8,1.18622907974232,0.734582383919633
0.9,1.20902130230791,0.740573135250559
1,1.23169765932599,0.746476061878544
1.1,1.25425623722002,0.752293189441443
1.2,1.27669525544329,0.758026465334862
1.3,1.29901305956051,0.763677763179096
1.4,1.32120811474988,0.769248886953656
1.5,1.3432789996943,0.774741574829442
1.6,1.3652244008331,0.780157502725456
1.7,1.38704310694827,0.785498287614139
1.8,1.40873400406125,0.790765490596966
1.9,1.43029607061863,0.79596061976975
2,1.45172837294677,0.801085132895184
2.1,1.47303006095702,0.806140439898433
2.2,1.49420036408484,0.811127905200076
2.3,1.51523858744728,0.816048849899342
2.4,1.53614410820466,0.820904553819371
2.5,1.55691637211337,0.825696257425171
2.6,1.57755489025758,0.830425163623953
2.7,1.59805923594883,0.835092439456675
2.8,1.61842904178307,0.83969921768885
2.9,1.63866399684555,0.844246598307959
3,1.65876384405477,0.848735649934205
3.1,1.67872837763717,0.853167411150742
3.2,1.69855744072495,0.857542891759041
3.3,1.71825092306987,0.861863073964549
3.4,1.73780875886642,0.866128913497407
3.5,1.75723092467818,0.870341340672603
3.6,1.77651743746159,0.874501261393574
3.7,1.79566835268184,0.878609558102983
3.8,1.81468376251569,0.882667090684088
3.9,1.8335637941367,0.886674697315874
4,1.85230860807838,0.890633195284858
4.1,1.87091839667119,0.894543381756297
4.2,1.88939338254946,0.898406034507285
4.3,1.9077338172247,0.902221912624077
4.4,1.92593997972188,0.905991757165792
4.5,1.94401217527542,0.909716291796503
4.6,1.96195073408205,0.913396223387578
4.7,1.97975601010748,0.917032242591992
4.8,1.99742837994452,0.920625024392251
4.9,2.01496824171988,0.924175228623406
5,2.03237601404743,0.927683500472572
5.1,2.04965213502575,0.931150470956266
5.2,2.06679706127771,0.934576757376778
5.3,2.08381126703023,0.937962963758723
5.4,2.10069524323231,0.941309681266841
5.5,2.11744949670957,0.944617488606058
5.6,2.13407454935358,0.947886952404726
5.7,2.15057093734448,0.951118627581941
5.8,2.16693921040532,0.954313057699748
5.9,2.18317993108673,0.95747077530102
6,2.19929367408062,0.960592302233734
6.1,2.21528102556147,0.963678149962318
6.2,2.23114258255425,0.966728819866733
6.3,2.2468789523276,0.969744803529868
6.4,2.26249075181131,0.972726583013841
6.5,2.27797860703694,0.975674631125733
6.6,2.29334315260081,0.978589411673253
6.7,2.3085850311481,0.981471379710823
6.8,2.32370489287757,0.984320981776535
6.9,2.33870339506563,0.987138656120384
7,2.35358120160926,0.989924832924206
7.1,2.36833898258692,0.992679934513681
7.2,2.38297741383667,0.99540437556277
7.3,2.39749717655078,0.998098563290913
7.4,2.41189895688636,1.00076289765333
7.5,2.42618344559105,1.00339777152471
7.6,2.44035133764351,1.00600357087659
7.7,2.45440333190786,1.00858067494866
7.8,2.46834013080163,1.01112945641436
7.9,2.48216243997674,1.01365028154083
8,2.49587096801287,1.01614351034366
8.1,2.50946642612289,1.01860949673651
8.2,2.52294952786972,1.02104858867581
8.3,2.53632098889435,1.02346112830092
8.4,2.54958152665448,1.02584745206965
8.5,2.56273186017341,1.02820789088959
8.6,2.5757727097988,1.03054277024531
8.7,2.5887047969709,1.0328524103215
8.8,2.60152884399999,1.03513712612243
8.9,2.61424557385248,1.03739722758764
9,2.62685570994563,1.0396330197042
9.1,2.63935997595033,1.04184480261552
9.2,2.65175909560174,1.04403287172699
9.3,2.66405379251754,1.04619751780836
9.4,2.67624479002343,1.04833902709328
9.5,2.68833281098568,1.05045768137577
9.6,2.70031857765043,1.05255375810404
9.7,2.71220281148955,1.05462753047152
9.8,2.7239862330527,1.05667926750535
9.9,2.73566956182558,1.05870923415238
10,2.74725351609395,1.06071769136269
10.1,2.75873881281326,1.06270489617089
10.2,2.7701261674838,1.06467110177512
10.3,2.78141629403104,1.06661655761386
10.4,2.79260990469103,1.06854150944075
10.5,2.80370770990071,1.07044619939728
